,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,DSLUM,ABMAGI_IN,ABMAGI_IN3,ABMAGI_IN4,Min Distance,cosmodc2_index,size_bulge_true,mag_i_lsst,mag_true_i_lsst_no_host_extinction,stellar_mass_bulge,shear_1,ellipticity_2_disk_true,magnification,sersic_disk,ellipticity_true,ellipticity_2_true,size_minor_bulge_true,ellipticity_disk_true,size_minor_disk_true,size_true,ra_true,dec_true,redshift,bulge_to_total_ratio_i,size_minor_true,mag_true_i_lsst,stellar_mass,ellipticity_1_bulge_true,size_disk_true,mag_true_i,ellipticity_2_bulge_true,shear_2_treecorr,galaxy_id,sersic_bulge,mag_i,Mag_true_i_lsst_z0,ellipticity_1_true,stellar_mass_disk,ellipticity_bulge_true,ellipticity_1_disk_true,convergence,halo_mass,shear_2,shear_2_phosim,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log
0,2,0.972,158.8547,0.3799035,60.84958,0.1675258,-134.306,2.65,0.1600434,-0.04205637,21.25,22.33952,0.6391419,"[-0.121, 0.4918, 0.0, 0.0]","[0.0534, 0.235, 0.0, 0.0]","[-0.3666, 2.0623, 0.0, 0.0]","[23.026, 0.0, 0.0, 0.0]",1640.49463,6379.5293,-22.2130394,22.7829037,0.972000003,1642.88,756.564,21887.3,-24.47896095024318,-24.15209487267259,-25.00809487267259,0.029847742010093724,80506.0,0.27120566,23.27967614516878,23.2387,31406365000.0,0.005206954445766,0.19747618,0.9629636387982744,1.0,0.4042289,0.09945541,0.11506421,0.8026268,0.045623396,0.27120566,57.70684533340052,-29.504525189648064,0.9791338751307496,1.0,0.11506421,23.2387,31406365000.0,0.39180303,0.41668242,23.2387,0.09945541,0.0024640529180868,3377163596,4.0,23.27967614516878,-22.228796,0.39180303,51.33476,0.4042289,0.7779543,-0.0190652548149377,19454562823211.27,0.0024640529180868,-0.0024640529180868,0.12429490856756834,0.10949200991762306,0.12429490577963383,0.4242692333492709,0.12429490577963383,0.4242692333492709,2.1525317093825813,-0.5667012510840401,0.33294955785319336,0.0,10.497017673686122,10.497017673686122,1.7104115359515617,13.28902147592104
14,4,1.02,286.4178,0.4026993,-117.8411,0.05856892,88.85828,2.45,0.04184945,-0.1739044,20.93,19.95828,2.161054,"[-0.2134, 0.9405, -0.6077, 0.7328]","[-1.2928, 0.0881, 0.4722, 0.6501]","[2.4473, -5.1238, -1.4204, 6.5478]","[0.0, 74.159, 111.537, 71.874]",1659.46106,6771.26465,-23.7952785,21.3780708,1.01999998,1672.07,700.439,19901.8,-24.5444618077558,-24.29618791891421,-25.09518791891421,0.02804364533382446,79436.0,1.2031342,22.26886803763268,22.222336,111269890000.0,0.0017963464332528,-0.2628361,0.9580476526184932,1.0,0.2561249,-0.115965776,0.7124941,0.5805064,0.57162243,1.2031342,57.55834720432381,-29.650760748243272,0.9721844029611606,1.0,0.712494,22.222336,111269890000.0,-0.2283679,2.1536748,22.222336,-0.11596576,-0.0032231359742444,3377150251,4.0,22.26886803763268,-23.141056,-0.22836792,11.377201,0.25612488,-0.51759523,-0.0216667909092338,694264260844529.6,-0.0032231359742444,0.0032231359742444,-1.3358613125527612,0.26541724014094936,-1.3358613259432923,0.5921983780935325,-1.3358613157712498,0.5921983463074018,9.531147407320747,0.0803140721186371,0.979145186333185,0.0,11.046377658710476,11.046377658710476,1.0560354307961939,14.841524809333317
1950,2,0.528,151.705,0.2803015,46.07593,0.1017819,-93.6386,1.57,-0.01999744,-0.2048943,22.71,22.53306,0.8344393,"[-0.1238, -0.0261, 0.0, 0.0]","[-0.6418, 0.1869, 0.0, 0.0]","[1.9544, -1.177, 0.0, 0.0]","[0.0, 17.024, 0.0, 0.0]",1295.44543,3024.58545,-21.7592392,21.1720905,0.527999997,1747.27,977.062,11540.5,-22.073123129653528,-21.49270672248941,-22.35670672248941,0.021315543196932733,79436.0,1.2031342,22.26886803763268,22.222336,111269890000.0,0.0017963464332528,-0.2628361,0.9580476526184932,1.0,0.2561249,-0.115965776,0.7124941,0.5805064,0.57162243,1.2031342,57.55834720432381,-29.650760748243272,0.9721844029611606,1.0,0.712494,22.222336,111269890000.0,-0.2283679,2.1536748,22.222336,-0.11596576,-0.0032231359742444,3377150251,4.0,22.26886803763268,-23.141056,-0.22836792,11.377201,0.25612488,-0.51759523,-0.0216667909092338,694264260844529.6,-0.0032231359742444,0.0032231359742444,-1.3358613125527612,0.26541724014094936,-1.3358613259432923,0.5921983780935325,-1.3358613157712498,0.5921983463074018,9.531147407320747,0.0803140721186371,0.979145186333185,0.0,11.046377658710476,11.046377658710476,1.0560354307961939,14.841524809333317
236,2,1.042,243.2204,0.6713353,54.02965,0.1166843,-32.62722,1.57,0.0423613,0.1885648,19.15,18.88776,0.8225371,"[0.1139, 0.2321, 0.0, 0.0]","[-0.2346, 0.5794, 0.0, 0.0]","[-1.2732, 2.0265, 0.0, 0.0]","[70.692, 0.0, 0.0, 0.0]",1667.30798,6952.28125,-23.3829384,21.8696976,1.04200006,1747.27,422.508,11540.5,-25.11912306665353,-25.05270672248941,-25.91670672248941,0.01194615807039258,79436.0,1.2031342,22.26886803763268,22.222336,111269890000.0,0.0017963464332528,-0.2628361,0.9580476526184932,1.0,0.2561249,-0.115965776,0.7124941,0.5805064,0.57162243,1.2031342,57.55834720432381,-29.650760748243272,0.9721844029611606,1.0,0.712494,22.222336,111269890000.0,-0.2283679,2.1536748,22.222336,-0.11596576,-0.0032231359742444,3377150251,4.0,22.26886803763268,-23.141056,-0.22836792,11.377201,0.25612488,-0.51759523,-0.0216667909092338,694264260844529.6,-0.0032231359742444,0.0032231359742444,-1.3358613125527612,0.26541724014094936,-1.3358613259432923,0.5921983780935325,-1.3358613157712498,0.5921983463074018,9.531147407320747,0.0803140721186371,0.979145186333185,0.0,11.046377658710476,11.046377658710476,1.0560354307961939,14.841524809333317
26,2,1.548,251.1886,0.2142355,121.5832,0.04909736,161.1342,2.59,0.2644872,-0.2149081,21.11,21.7748,0.9962008,"[0.6676, -0.1172, 0.0, 0.0]","[-0.5302, 0.0834, 0.0, 0.0]","[1.9233, -0.5421, 0.0, 0.0]","[0.0, 166.527, 0.0, 0.0]",1746.92749,11341.583,-23.8469982,22.974371,1.54799998,1651.86,411.983,21289.3,-23.98280692955536,-24.24093884883246,-25.06193884883246,0.016004058006342536,13148.0,0.4694405,20.535360242918244,20.426323,37395448000.0,-0.0022330946948257,0.3293149,0.9972055221662628,1.0,0.14722832,0.1435015,0.35516134,0.33786738,0.3715267,0.48163584,57.21933165680843,-28.65299611202282,0.4745418129981087,0.94994134,0.3580154,20.532322,38050476000.0,0.030984508,0.75068563,20.532322,0.13507898,-0.0006639458834383,2625362515,4.0,20.535360242918244,-22.04446,0.03291647,655028200.0,0.13858706,0.07553847,-0.0014028841378879,869316209938.0282,-0.0006639458834383,0.0006639458834383,0.6726581193802622,0.4949164885656115,0.6726581121701992,0.756563100795721,0.672658116629177,0.7433321572536709,2.81626788097705,-0.31728120336341065,0.44967396215221966,-0.02230321208048907,10.580360094033802,10.57281874046793,8.816259997458587,11.9391777778893
1809,2,1.63,202.7683,0.3228218,-119.5562,0.09779403,-59.71898,2.44,0.03478687,0.1404148,20.89,20.68375,0.5225288,"[-0.0228, 0.0488, 0.0, 0.0]","[-0.111, 0.4066, 0.0, 0.0]","[-1.2092, 2.0502, 0.0, 0.0]","[47.127, 0.0, 0.0, 0.0]",1747.41272,12086.6807,-23.3467808,23.6947517,1.63,1673.45,337.496,19802.9,-23.9636439719576,-24.326945918743185,-25.125945918743184,0.04694881903841319,23532.0,0.32292137,21.525718196020534,21.45548,21418226000.0,0.010449662720124,-0.3750595,0.9738789715321702,1.0,0.48638535,-0.4386652,0.11153011,0.4158603,0.21190028,0.32341993,55.99824094748506,-29.75059444472653,0.6917298336585109,0.99509686,0.111756496,21.49698,21421814000.0,0.2101836,0.5136121,21.49698,-0.43883216,-0.0017847207121999,2625883092,4.0,21.525718196020534,-21.873775,0.21010363,3588833.2,0.48657048,0.17963897,-0.0133775297963327,486713903594.3662,-0.0017847207121999,0.0017847207121999,-0.5620604623544657,0.4125687412484972,-0.5620604655694527,0.3453785453407445,-0.562060468007498,0.34554610731810703,2.2783301291288787,-0.4902332212189445,0.35761665340029036,-0.002134644162648751,10.330856244125778,10.330783496826536,6.554953273879916,11.687273752588412
638,2,0.522,249.4595,0.1145157,-134.0219,0.02742898,119.2406,1.73,-0.4519024,0.2424365,21.85,21.88542,2.14179,"[0.4813, -1.3755, 0.0, 0.0]","[-0.269, 0.7985, 0.0, 0.0]","[-0.9679, 3.396, 0.0, 0.0]","[99.694, 0.0, 0.0, 0.0]",1287.84375,2983.26978,-23.0593815,19.8360806,0.522000015,1745.01,1027.03,13005.4,-23.198618555480014,-22.579415261679067,-23.448415261679067,0.015609202828814518,61371.0,0.56150097,19.798680687471503,19.649263,100715184000.0,0.0019618752246389,-0.032246623,0.9906808346890942,1.0,0.01838794,-0.008216398,0.5415289,0.07216654,0.6260156,0.5623425,56.57003087682501,-29.866318758062533,0.5115256931921865,0.9931911,0.5420353,19.788515,100820370000.0,-0.01619844,0.72339815,19.788515,-0.00809068,0.0025027141463763,3375436058,4.0,19.798680687471503,-22.752182,-0.01645014,105181360.0,0.01810659,-0.06456132,-0.0046974378582316,1863559727594.3665,0.0025027141463763,-0.0025027141463763,-1.3391834484482614,0.8653818555363028,-1.3391834512685636,0.9644308580470122,-1.3391834342627622,0.9638881445185363,3.4269498614742324,-0.24999909269905507,0.5349077504630267,-0.0029671808192524413,11.003548286919465,11.003094950497033,8.0219387819621,12.270343316568777
1473,2,0.632,148.2518,0.3625633,80.50717,0.02187886,103.8196,1.59,-0.01610239,-0.2117054,22.11,22.08861,0.6856785,"[-0.0427, 0.0038, 0.0, 0.0]","[-0.5574, 0.1267, 0.0, 0.0]","[1.813, -1.0199, 0.0, 0.0]","[0.0, 18.64, 0.0, 0.0]",1411.7915,3760.19922,-21.7768402,21.7312145,0.632000029,1747.49,857.899,11722.3,-22.60306412979794,-22.122439453696376,-22.986439453696377,0.0745255993387087,5338.0,0.6912473,21.24022489722328,21.19203,93040600000.0,-0.0122398665516291,-0.061953437,1.0142278586215006,1.0,0.67544717,-0.068161756,0.13340196,0.613926,0.23327737,0.6958603,57.91432584389965,-28.11658751317032,0.882887734311153,0.95279515,0.13479592,21.255564,93110870000.0,0.6730106,0.975182,21.255564,-0.06826434,0.0043788159171476,2001696664,4.0,21.24022489722328,-23.100311,0.67199916,70265600.0,0.6764638,0.61079204,0.0069538168181659,1587663505667.6057,0.0043788159171476,-0.0043788159171476,-0.05054279487721504,0.239214182614733,-0.05054278967664698,0.19298727874088953,-0.05054279532830286,0.19371116032636143,5.360952603443683,-0.157477940028552,0.7292419676144389,-0.021000462202858793,10.969000384584453,10.968672502406644,7.846742759065199,12.200758462123138
61,2,0.882,217.771,0.3875998,1.897287,0.05791444,-51.7739,2.54,-0.218308,0.1505711,21.01,20.48896,1.389944,"[0.2266, -0.902, 0.0, 0.0]","[-0.3665, 0.4448, 0.0, 0.0]","[-1.6159, 2.2609, 0.0, 0.0]","[67.363, 0.0, 0.0, 0.0]",1597.55444,5658.41602,-22.9730206,21.6724529,0.882000029,1659.21,809.884,20792.6,-24.6975439652889,-24.297289916756664,-25.102289916756664,0.07347619446120013,138420.0,0.5279762,22.17910243731412,22.198109,128549585000.0,0.0090879029940404,-0.60282725,1.017659507395872,1.0,0.45873308,-0.32973737,0.19590701,0.83865774,0.0643602,0.5279762,56.90291057890723,-28.21904510545892,1.2765445009280634,1.0,0.19590701,22.198109,128549585000.0,0.31891897,0.7334495,22.198109,-0.32973737,0.0101551382957367,2629073982,4.0,22.17910243731412,-23.168346,0.31891897,0.020091008,0.45873308,0.583049,0.0086208314041147,3110297207707.0425,0.0101551382957367,-0.0101551382957367,-0.4010373954380096,0.08775001478202507,-0.4010373930768089,0.3710527454075553,-0.4010373930768089,0.3710527454075553,4.417074751651245,-0.2773856540601887,0.6451347490331129,0.0,11.109070678936865,11.109070678936865,-1.6969982734132356,12.492801890473773
171,2,0.462,219.2805,0.2907577,167.0606,0.02650249,-31.63302,2.52,0.198322,-0.5562264,20.07,20.85991,1.914465,"[0.8743, -0.0634, 0.0, 0.0]","[-1.3189, 0.3502, 0.0, 0.0]","[2.4392, -0.4831, 0.0, 0.0]","[0.0, 80.32, 0.0, 0.0]",1205.74915,2577.22144,-22.6761398,19.8416176,0.462000012,1662.12,1161.32,20594.3,-26.036735162396425,-25.21955684504876,-26.02055684504876,0.02810508572067343,8577.0,0.86549366,18.090408801680297,17.88485,55002604000.0,-0.0005066266238182,0.3215125,0.9971506937306012,1.0,0.138558,0.13141182,0.6685567,0.33899635,0.6021496,0.8826012,57.21443274874567,-28.631909934479932,0.2293350541447534,0.9517055,0.667783,18.08731,58272130000.0,-0.040695883,1.2197756,18.08731,0.12175602,-0.0008297877681868,2625041949,4.0,18.090408801680297,-22.392561,-0.043923255,3269526800.0,0.12837711,-0.10746274,-0.0014281767716621,1376843147177.4648,-0.0008297877681868,0.0008297877681868,0.9466818919060052,0.49365604600985646,0.9466818868777008,0.7724570765154896,0.9466819055059928,0.7566079231745584,3.1674909110526177,-0.05423548641406533,0.5007153773722564,-0.02149742085062089,10.765460892988722,10.740383250877155,9.514484901583907,12.13888446734817
