,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN,ABMAGI_IN3,ABMAGI_IN4,Min Distance,cosmodc2_index,size_bulge_true,mag_i_lsst,mag_true_i_lsst_no_host_extinction,stellar_mass_bulge,shear_1,ellipticity_2_disk_true,magnification,sersic_disk,ellipticity_true,ellipticity_2_true,size_minor_bulge_true,ellipticity_disk_true,size_minor_disk_true,size_true,ra_true,dec_true,redshift,bulge_to_total_ratio_i,size_minor_true,mag_true_i_lsst,stellar_mass,ellipticity_1_bulge_true,size_disk_true,mag_true_i,ellipticity_2_bulge_true,shear_2_treecorr,galaxy_id,sersic_bulge,mag_i,Mag_true_i_lsst_z0,ellipticity_1_true,stellar_mass_disk,ellipticity_bulge_true,ellipticity_1_disk_true,convergence,halo_mass,shear_2,shear_2_phosim,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log,EINSTEIN
3,31148653,0,2,1.016,280.5434,0.2816117,91.63868,0.04949279,-28.94337,2.05,-0.1778311,0.2046562,23.53,22.59304,1.718983,"[0.5098, -0.6504, 0.0, 0.0]","[-0.3036, 0.9648, 0.0, 0.0]","[-2.3702, 2.8349, 0.0, 0.0]","[123.252, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1657.95959,6738.37256,-23.7379169,21.4208603,1.01600003,1721.65,625.762,0.0,16015.6,0.0,0.0,0.0,1,-21.476716037421312,-21.29134126823783,-22.12534126823783,0.0254978291916828,106205.0,0.46651036,21.833089852318555,21.818424,212587330000.0,0.0064443061896891,0.36365557,0.9865832754074176,1.0,0.3063432,0.22820583,0.24771293,0.4881707,0.16705531,0.46651036,57.32614226534498,-28.31712360385249,1.0109139719202282,1.0,0.24771293,21.818424,212587330000.0,0.20437282,0.48572212,21.818424,0.22820583,-0.0021180199335672,2627543296,4.0,21.833089852318555,-23.74147,0.20437282,0.0027659745,0.3063432,0.32567665,-0.0067994816001091,25372059699921.13,-0.0021180199335672,0.0021180199335672,0.4202188759225109,0.3439318286911526,0.420218862131808,0.5309912544091807,0.420218862131808,0.5309912544091807,3.733001140446771,-0.3311387072425117,0.5720581226050252,0.0,11.327537377425967,11.327537377425967,-2.5581518280446174,13.40435572461238,0.8238666434862586
4,350831,0,2,0.186,209.894,0.162288,-129.3107,0.02303224,113.0656,1.78,-0.1146524,-0.307523,23.05,21.73989,2.211824,"[-0.5152, 0.2093, 0.0, 0.0]","[-1.3395, 0.7503, 0.0, 0.0]","[3.3423, -3.3577, 0.0, 0.0]","[0.0, 17.911, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",642.642029,903.937744,-22.3543797,17.6123142,0.186000004,1742.86,1468.69,0.0,13469.5,0.0,0.0,0.0,1,-22.410757369094785,-21.44570137819719,-22.32470137819719,0.053112592546811,57530.0,0.83981836,17.764030879341377,17.552523,64374977000.0,-0.0066158898981815,-0.3617929,1.0356550623935092,1.0,0.17174058,-0.119994536,0.61557835,0.51781124,0.3643984,0.8547239,57.63332171180293,-29.928230733341,0.196369372107181,0.95134085,0.6041722,17.802069,68201410000.0,0.110227965,1.1470362,17.802069,-0.10765157,0.0032163093195822,3375027405,4.0,17.764030879341377,-22.303154,0.12286634,3826431200.0,0.15407486,0.3704516,0.0173370015335084,2251376115019.7183,0.0032163093195822,-0.0032163093195822,-0.3867869195325712,0.3176868996367762,-0.3867869272446375,0.7329898227078849,-0.3867869104887008,0.7068624551687568,2.7186622020905906,-0.06817415202191,0.4343552491903834,-0.0216638545108038,10.8337933533792,10.808717086883812,9.58279390903383,12.352448054322013,1.069203006204712
5,4789516,0,2,0.476,221.8196,0.07348919,148.7687,0.03216037,67.83229,1.29,0.1835049,0.1264667,22.05,21.0906,1.57778,"[-0.465, 0.7969, 0.0, 0.0]","[-0.3162, 0.6309, 0.0, 0.0]","[-2.4197, 4.593, 0.0, 0.0]","[31.977, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1225.91333,2670.74561,-22.7168407,19.8923206,0.476000011,1726.55,936.396,0.0,9054.2,0.0,0.0,0.0,1,-22.258250406405985,-21.688456064481123,-22.42045606448112,0.013957647953601,14728.0,0.37160566,19.868310199862844,19.859447,69636840000.0,-0.0072169997145561,0.18749216,0.9918703583860536,1.0,0.08320639,0.08126679,0.31451598,0.19196706,0.30275485,0.37160566,57.16375688330909,-28.518455284278005,0.4834403270134231,1.0,0.31451595,19.859447,69636840000.0,0.017860906,0.44660777,19.859447,0.08126679,-0.0028431017733404,2625379805,4.0,19.868310199862844,-22.71013,0.017860906,0.17851658,0.08320639,0.041207235,-0.0041197352407023,1582457916574.648,-0.0028431017733404,0.0028431017733404,0.6772274082151539,0.6778987378678336,0.6772274040746585,0.8463702031939454,0.6772274040746585,0.8463702031939454,2.195640030746738,-0.429917679802057,0.3415611402066495,0.0,10.842839055355974,10.842839055355974,-0.748321441915283,12.199332169341886,0.7685510379311249
7,1215224,0,4,0.288,233.8837,0.3405463,-136.3464,0.03353729,-39.73777,2.92,0.001668022,0.1348162,24.45,22.81531,2.364349,"[0.5588, 0.7397, -1.3066, -1.2551]","[-0.9761, 1.2335, 0.0491, 0.3994]","[-2.888, 4.5069, 22.9141, -21.2407]","[17.305, 0.0, 8.44, 8.477]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",892.950745,1481.35535,-22.7147598,18.4265366,0.287999988,1601.4,1308.01,0.0,24607.8,0.0,0.0,0.0,1,-22.21736395402709,-21.16775635825152,-22.08175635825152,0.0335288578440378,58019.0,0.7287382,18.516488657881133,18.397915,85729350000.0,0.0002918154456404,0.46912214,0.9979085062269244,1.0,0.32926175,0.29767853,0.36864597,0.51889527,0.29930106,0.73001415,57.58791520313424,-28.94325229952227,0.3070473296706688,0.99357504,0.36836115,18.514215,85828720000.0,0.14023459,0.9449231,18.514215,0.29666156,-0.0012274843326087,3375106343,4.0,18.516488657881133,-22.73994,0.14071532,99365590.0,0.3281369,0.22175825,-0.0010481852345631,1954657536721.127,-0.0012274843326087,0.0012274843326087,0.5646094565609562,0.31674647777908,0.5646094489995169,0.5058688667960691,0.5646094501992877,0.504594547007845,3.241495212450205,-0.1366687217872685,0.5107453845050205,-0.0027993271176007,10.93363263575594,10.933129530918109,7.997236015580743,12.291070678386347,1.2867780357033276
9,10798336,0,2,0.652,203.2357,0.4613552,-16.85168,0.05666409,55.53548,1.32,-0.1762579,0.2931977,21.89,22.96481,0.9475528,"[-0.5369, 0.0396, 0.0, 0.0]","[0.6129, -0.1391, 0.0, 0.0]","[2.1694, -0.3716, 0.0, 0.0]","[0.0, 52.968, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1431.09827,3905.61597,-22.6193199,20.9911289,0.65200001,1730.69,711.654,0.0,9315.27,0.0,0.0,0.0,1,-22.30397722647839,-21.90311725536477,-22.646117255364764,0.0315595955335395,24099.0,0.37845886,21.01360685845449,20.912914,69263810000.0,-0.0075399546194255,0.38194603,1.0149285302644453,1.0,0.47727397,0.23087242,0.14297448,0.78958285,0.058275804,0.38735467,56.69859574297313,-28.023570660745023,0.6645667655312641,0.9169421,0.13706353,21.029696,72744900000.0,0.3952563,0.49563158,21.029696,0.21845783,-0.0032617710889882,2625888360,4.0,21.01360685845449,-22.6435,0.41771805,3481089800.0,0.45160976,0.69105595,0.0073477231342418,332968544746366.2,-0.0032617710889882,0.0032617710889882,0.2524565629973043,0.117578874127283,0.2524565750955981,0.3777807707468003,0.2524565745073461,0.3538450138239875,2.682305873827596,-0.4118912037530089,0.4285083006375422,-0.0376580868429476,10.861802551204375,10.840506377142203,9.541715226714752,14.522403208015858,0.4891500401546878
10,16700246,0,2,0.778,263.6331,0.4161564,157.8133,0.02530418,-34.17097,1.94,-0.730763,0.2403755,21.03,21.67378,2.087716,"[-1.7163, 0.2477, 0.0, 0.0]","[0.64, -0.068, 0.0, 0.0]","[1.6441, -0.5527, 0.0, 0.0]","[0.0, 257.814, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1533.73291,4848.56543,-23.3963394,20.8097267,0.777999997,1731.91,804.371,0.0,14969.9,0.0,0.0,0.0,1,-24.068094499173096,-23.664660333157897,-24.52266033315789,0.0222968551601909,31970.0,0.66643673,20.485311795535715,20.424168,171494470000.0,-0.0031821333687127,-0.31768748,1.032205965166734,1.0,0.4182752,-0.33833227,0.27333716,0.39275235,0.34949404,0.6665236,56.15874080201587,-28.7320109034887,0.7839290812302175,0.99814624,0.27338368,20.519728,171496240000.0,0.24594751,0.80158174,20.519728,-0.3383456,-0.0006275149667692,2626338738,4.0,20.485311795535715,-23.37495,0.24593784,1761185.1,0.41829166,0.2309309,0.0157188327342614,5421414832676.057,-0.0006275149667692,0.0006275149667692,-0.4711179477206876,0.4360054657477318,-0.4711179758877841,0.4101471789879005,-0.4711179568025165,0.4101635526871809,4.932046629009666,-0.1761844686532452,0.6930271738900091,-0.0008058248727082,11.23425460271609,11.234250120371756,6.245805002579475,12.73411263964534,0.9296585019869544
11,835723,0,2,0.252,230.6747,0.1821093,136.1814,0.08975024,-83.19053,2.35,0.3228492,-0.3145961,23.21,22.24522,2.636097,"[1.0143, -0.7355, 0.0, 0.0]","[-1.5459, 0.4257, 0.0, 0.0]","[2.5154, -2.4317, 0.0, 0.0]","[0.0, 42.059, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",811.226501,1271.60071,-22.6515179,18.1222363,0.252000004,1685.82,1382.64,0.0,18919.1,0.0,0.0,0.0,1,-22.9225023597299,-21.92219635493384,-22.72419635493384,0.0487328277458413,57707.0,1.453195,18.25465875191336,18.069803,63224082000.0,-0.0019431803777881,-0.2385638,0.997397230967302,1.0,0.13733573,-0.062378883,1.1066219,0.5252312,0.7237848,1.457556,57.571931930679874,-28.802879539347032,0.2683193357447806,0.9948131,1.1055499,18.25183,63300248000.0,0.12061826,2.325214,18.25183,-0.061495036,0.0011081091078032,3375057474,4.0,18.25465875191336,-22.641325,0.12235186,76165710.0,0.13538982,0.4679264,-0.0013064291081623,770413478580.2817,0.0011081091078032,-0.0011081091078032,-0.2357410736120244,0.3112766206780618,-0.2357410761317655,0.761509536166381,-0.235741084006317,0.7584957084634188,5.880182302531949,0.1636252495537125,0.7693907906605526,-0.0022585044432618,10.80140541151531,10.80088253220025,7.881759494837231,11.88672387227566,1.256869917577283
12,2355253,0,2,0.366,207.0141,0.407818,62.93353,0.09396976,168.9541,1.86,0.2288259,-0.4585956,22.01,22.74406,1.664178,"[0.5093, -0.2056, 0.0, 0.0]","[-1.2356, 0.2672, 0.0, 0.0]","[3.2007, -0.5086, 0.0, 0.0]","[0.0, 47.691, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1048.56909,1956.58362,-22.4531384,19.3703537,0.365999997,1738.05,1237.23,0.0,14216.6,0.0,0.0,0.0,1,-23.387978724140964,-22.58752117972966,-23.47052117972966,0.0152125765102047,58811.0,0.8552556,19.416325721514653,19.17407,39339440000.0,-0.0013892181354285,-0.065742984,0.9945609276444036,1.0,0.39331135,-0.05772443,0.3822534,0.4479466,0.50691485,0.9352229,56.98128455099551,-29.32077662913683,0.3673450662795308,0.8302492,0.4072235,19.410404,45112510000.0,-0.37808225,1.3295555,19.410404,-0.05609678,0.0029421702766595,3375179934,4.0,19.416325721514653,-22.44876,-0.3890523,5773068300.0,0.3822212,-0.44309595,-0.0027359592352622,2045755345847.888,0.0029421702766595,-0.0029421702766595,-1.4971476838303708,0.3812664038964446,-1.4971476817464169,0.4469464203600863,-1.497147678111881,0.4354293671341877,4.68301582407589,-0.0290848675200047,0.6705256252809545,-0.0807915342008242,10.654296991336764,10.59482817341146,9.761406695578945,12.310853694722486,0.8785783911880672
16,26201840,0,2,0.942,208.4491,0.5364811,151.6634,0.07507069,-130.7904,2.05,0.2325497,-0.2035636,20.23,20.02447,1.033116,"[0.6715, -0.1253, 0.0, 0.0]","[-0.4621, 0.1955, 0.0, 0.0]","[1.9268, -1.2084, 0.0, 0.0]","[0.0, 71.177, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1627.30383,6137.1543,-22.9032574,21.9785767,0.941999972,1721.65,685.507,0.0,16015.6,0.0,0.0,0.0,1,-24.850716095421312,-24.59134126823783,-25.42534126823783,0.0652256051663652,46946.0,0.59325117,22.117260561215925,22.09482,85491530000.0,0.0023932703715503,0.5079143,0.9795436295703136,1.0,0.48948467,0.46697423,0.20333464,0.5323982,0.2721256,0.59325117,56.67476185193362,-28.653911763405432,0.9263631650192964,1.0,0.20333463,22.09482,85491530000.0,-0.1467321,0.89179456,22.09482,0.46697423,0.0004491184769656,2626970884,4.0,22.117260561215925,-22.945698,-0.1467321,0.4751146,0.48948467,-0.15959623,-0.0103907669687179,7027342944630.986,0.0004491184769656,-0.0004491184769656,0.9376231622388872,0.3051437540420721,0.937623172300018,0.3427462815523959,0.937623172300018,0.3427462815523959,4.637007737373391,-0.226761396601491,0.6662378205660147,0.0,10.931923089506224,10.931923089506224,-0.3232016237546279,12.846791148261362,0.4982640611699178
18,31417072,0,4,1.02,286.4178,0.4026993,-117.8411,0.05856892,88.85828,2.45,0.04184945,-0.1739044,20.93,19.95828,2.161054,"[-0.2134, 0.9405, -0.6077, 0.7328]","[-1.2928, 0.0881, 0.4722, 0.6501]","[2.4473, -5.1238, -1.4204, 6.5478]","[0.0, 74.159, 111.537, 71.874]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1659.46106,6771.26465,-23.7952785,21.3780708,1.01999998,1672.07,700.439,0.0,19901.8,0.0,0.0,0.0,1,-24.5444618077558,-24.29618791891421,-25.09518791891421,0.0277112626413241,103839.0,0.9666679,21.116271479572983,21.08812,314523000000.0,-0.0060289785331036,-0.05094653,0.974404342833915,1.0,0.39523837,-0.052373964,0.41899914,0.3844663,0.54388624,0.96666795,56.53599920579084,-29.03479238249237,1.009253047480258,1.0,0.41899914,21.08812,314523000000.0,-0.3917529,1.2233158,21.08812,-0.052373964,0.0076392752279529,2627522580,4.0,21.116271479572983,-23.77085,-0.3917529,0.00021966406,0.39523837,-0.38107583,-0.0130956080740003,17721470502940.848,0.0076392752279529,-0.0076392752279529,-1.5043447030335662,0.4445999859800243,-1.504344699975924,0.4334468197529302,-1.504344699975924,0.4334468197529302,7.732088255365829,-0.0147226802577251,0.8882968024956297,0.0,11.497652409424695,11.497652409424695,-3.6582409936962126,13.248499756197518,0.9897109182080993
