,om10M_i,om10z,index,Min Distance,cosmodc2_index,sersic_bulge,size_minor_bulge_true,dec_true,size_disk_true,size_minor_disk_true,size_true,size_bulge_true,mag_i,ra_true,mag_true_i,sersic_disk,magnification,size_minor_true,galaxy_id,seed,sf_z,tau_y,tau_g,sf_u,tau_u,sf_y,tau_z,sf_r,tau_i,M_i,sf_g,tau_r,sf_i,flux_y,flux_u_noMW,dec,flux_z_noMW,flux_i,flux_g_noMW,is_pointsource,is_variable,flux_g,flux_i_noMW,flux_z,flux_r_noMW,ra,flux_u,flux_y_noMW,redshift,flux_r,ellipticity_1_disk_true,ellipticity_2_bulge_true,ellipticity_2_true,ellipticity_2_disk_true,ellipticity_1_true,ellipticity_2_true_dc2,ellipticity_1_bulge_true,ellipticity_disk_true,ellipticity_true,ellipticity_1_bulge_true_dc2,ellipticity_bulge_true,ellipticity_1_true_dc2,ellipticity_1_disk_true_dc2,ellipticity_2_bulge_true_dc2,ellipticity_2_disk_true_dc2,Mag_true_i_lsst_z0,bulge_to_total_ratio_i,stellar_mass_bulge,halo_mass,stellar_mass,stellar_mass_disk,shear_2,shear_1,convergence,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log,bin
0,-25.00809487267259,2.65,0,0.10742574898959215,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
14,-25.09518791891421,2.45,18,0.21087869008407067,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
26,-25.06193884883246,2.59,31,0.13448109432644928,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
61,-25.102289916756664,2.54,83,0.17852864635038285,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
130,-24.9402741964893,2.39,170,0.18886439512516456,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
184,-25.029249761503753,2.58,243,0.10130781538170394,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
252,-24.863293997439744,2.46,329,0.13495975660224163,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
343,-24.963293997439745,2.46,449,0.1236212418116767,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
383,-24.915564124104186,2.6,494,0.02484714753007412,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
385,-25.162481775261266,2.48,496,0.2543584888172233,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.378819402585385,52.476118066299335,23.341703,1.0,0.9663926204381176,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.92795361981512,0.2902,284.4,0.2333,19713.969,5449.3975,-28.401987425743155,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.50053262634861,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.1396038688891578,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.3833540626749139,-0.1396038688891578,-0.5574742248659733,-23.097595,1.0,118347310000.0,2090002853138.0283,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.3762486380737133,0.19291649965396584,1.3762486290025688,0.7102401772432734,1.3762486290025688,0.7102401772432734,5.28473403371963,-0.1859953307369844,0.723023135334177,0.0,11.07315839098979,11.07315839098979,-0.5700102952493065,12.320146878982468,2.5 - 3.0
