,LENSID,FLAGTYPE,NIMG,ZLENS,VELDISP,ELLIP,PHIE,GAMMA,PHIG,ZSRC,XSRC,YSRC,MAGI_IN,MAGI,IMSEP,XIMG,YIMG,MAG,DELAY,KAPPA,FSTAR,DD,DDLUM,ABMAG_I,APMAG_I,KCORR,DS,DDS,SIGCRIT,DSLUM,L_I,REFF,REFF_T,weight,ABMAGI_IN,ABMAGI_IN3,ABMAGI_IN4,Min Distance,cosmodc2_index,sersic_bulge,size_minor_bulge_true,dec_true,size_disk_true,size_minor_disk_true,size_true,size_bulge_true,mag_i,ra_true,mag_true_i,sersic_disk,magnification,size_minor_true,galaxy_id,seed,sf_z,tau_y,tau_g,sf_u,tau_u,sf_y,tau_z,sf_r,tau_i,M_i,sf_g,tau_r,sf_i,flux_y,flux_u_noMW,dec,flux_z_noMW,flux_i,flux_g_noMW,is_pointsource,is_variable,flux_g,flux_i_noMW,flux_z,flux_r_noMW,ra,flux_u,flux_y_noMW,redshift,flux_r,ellipticity_1_disk_true,ellipticity_2_bulge_true,ellipticity_2_true,ellipticity_2_disk_true,ellipticity_1_true,ellipticity_2_true_dc2,ellipticity_1_bulge_true,ellipticity_disk_true,ellipticity_true,ellipticity_1_bulge_true_dc2,ellipticity_bulge_true,ellipticity_1_true_dc2,ellipticity_1_disk_true_dc2,ellipticity_2_bulge_true_dc2,ellipticity_2_disk_true_dc2,Mag_true_i_lsst_z0,bulge_to_total_ratio_i,stellar_mass_bulge,halo_mass,stellar_mass,stellar_mass_disk,shear_2,shear_1,convergence,phi_disk,q_disk,phi_bulge,q_bulge,phi,q,size_true_kpc,size_true_log,size_true_kpc_log,bulge_to_total_ratio_i_log,stellar_mass_log,stellar_mass_bulge_log,stellar_mass_disk_log,halo_mass_log,EINSTEIN,n_sersic
3,31148653,0,2,1.016,280.5434,0.2816117,91.63868,0.04949279,-28.94337,2.05,-0.1778311,0.2046562,23.53,22.59304,1.718983,"[0.5098, -0.6504, 0.0, 0.0]","[-0.3036, 0.9648, 0.0, 0.0]","[-2.3702, 2.8349, 0.0, 0.0]","[123.252, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1657.95959,6738.37256,-23.7379169,21.4208603,1.01600003,1721.65,625.762,0.0,16015.6,0.0,0.0,0.0,1,-21.4767160374213,-21.2913412682378,-22.1253412682378,0.0377392307794521,7880.0,4.0,0.19365545,-28.4236672956479,0.35298184,0.119836375,0.24185535,0.24185534,23.6357476553559,53.4114395988926,23.62928,1.0,0.994060859315046,0.19365546,2575574808,7654620,0.3884,227.7,199.9,0.589,190.2,0.3681,223.1,0.4569,217.3,-22.0955012448018,0.5174,209.6,0.416,1850.8649,1110.4215,-28.4509035642982,1958.069,1619.7703,1296.991,1,1,1267.0121,1641.0992,1938.4537,1430.9755,53.4161301888039,1077.3535,1866.3611,2.0731046,1406.4995,0.05931519,-0.10987076,-0.10987076,-0.4895169,0.013313136,0.0179656822215727,0.013313136,0.49309745,0.1106744,0.109206491914472,0.1106744,0.109206491914472,0.486557337574631,0.0179656822215727,0.0800440922164799,-22.375889,1.0,43377377000.0,1264926950760.56,43377377000.0,7.2298346,-0.0007853030493828,-0.000856343108429,-0.0029835366778026,-0.725106654806067,0.339497305369235,-0.725106654264098,0.800707745209772,-0.725106654264098,0.800707745209772,2.03314461952726,-0.616444301288635,0.308168271519905,0.0,10.6372632869851,10.6372632869851,0.859128361868671,12.1020654458299,0.823866643486259,3.9992603653589596
4,350831,0,2,0.186,209.894,0.162288,-129.3107,0.02303224,113.0656,1.78,-0.1146524,-0.307523,23.05,21.73989,2.211824,"[-0.5152, 0.2093, 0.0, 0.0]","[-1.3395, 0.7503, 0.0, 0.0]","[3.3423, -3.3577, 0.0, 0.0]","[0.0, 17.911, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",642.642029,903.937744,-22.3543797,17.6123142,0.186000004,1742.86,1468.69,0.0,13469.5,0.0,0.0,0.0,1,-22.4107573690948,-21.4457013781972,-22.3247013781972,0.0505901446378549,5555.0,4.0,0.11626987,-27.5394662065109,0.18663518,0.042275596,0.17353988,0.17353988,22.6988440052217,53.5703750894032,22.672026,1.0,0.975601973435668,0.11626987,2569421570,5843108,0.3108,147.9,130.3,0.4702,124.1,0.2947,145.0,0.3653,141.3,-22.3399564943354,0.4133,136.5,0.3327,2838.512,1845.5732,-27.55349279899,2831.7961,2780.2747,2131.2393,1,1,2074.4285,2822.3865,2799.2659,2278.1218,53.577280972349,1781.6975,2865.9053,1.7317647,2233.7446,0.0003231617,-0.19761238,-0.19761238,-0.6306368,0.00010126391,0.132224285677635,0.00010126391,0.6306369,0.1976124,0.146858438018005,0.1976124,0.146858438018005,0.46866666034467,0.132224285677635,0.421964956330256,-22.902842,1.0,123916450000.0,1519991770501.41,123916450000.0,8.303938,-0.012879346524651,0.0262531014967541,-0.0128490902545552,-0.785141944864282,0.226514634310084,-0.785141944882352,0.669989380596562,-0.785141944882352,0.669989380596562,1.47657214252172,-0.760600707191668,0.169254670626319,0.0,11.0931289631155,11.0931289631155,0.919284097927504,12.1818412366056,1.06920300620471,4.001520404521837
5,4789516,0,2,0.476,221.8196,0.07348919,148.7687,0.03216037,67.83229,1.29,0.1835049,0.1264667,22.05,21.0906,1.57778,"[-0.465, 0.7969, 0.0, 0.0]","[-0.3162, 0.6309, 0.0, 0.0]","[-2.4197, 4.593, 0.0, 0.0]","[31.977, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1225.91333,2670.74561,-22.7168407,19.8923206,0.476000011,1726.55,936.396,0.0,9054.2,0.0,0.0,0.0,1,-22.258250406406,-21.6884560644811,-22.4204560644811,0.0265850042715261,3582.0,4.0,1.2200731,-28.5127100329624,1.998768,1.6581817,1.2249231,1.2249231,22.900289512292,53.5868008388385,22.876587,1.0,0.978405669717006,1.2200731,2566532405,3051011,0.4769,235.6,205.9,0.7264,195.6,0.4518,230.7,0.562,224.5,-22.3943373236945,0.6372,216.3,0.5112,4533.205,3274.4,-28.5316578551933,4441.899,4489.948,3487.161,1,1,3404.944,4550.145,4396.6377,4422.2065,53.5904917169872,3174.474,4571.689,1.2949572,4345.8613,-0.02367626,-0.0019184827,-0.0019184827,-0.09007424,-0.0005042784,-0.0014181509596601,-0.0005042784,0.09313396,0.0019836514,-0.0013869826366089,0.0019836514,-0.0013869826366089,-0.0651199040217465,-0.0014181509596601,-0.0665832808168418,-23.547558,1.0,203964000000.0,34586594093431.0,203964000000.0,0.009454483,-0.001332899446246,0.0047124984795642,-0.0109871026168462,-0.913917310666264,0.829601931835773,-0.913917306383919,0.996040551517376,-0.913917306383919,0.996040551517376,10.2667218227709,0.0881088247871089,1.01143179495553,0.0,11.30955352046,11.30955352046,-2.02436221471805,13.5389077970749,0.768551037931125,4.000267922146483
7,1215224,0,4,0.288,233.8837,0.3405463,-136.3464,0.03353729,-39.73777,2.92,0.001668022,0.1348162,24.45,22.81531,2.364349,"[0.5588, 0.7397, -1.3066, -1.2551]","[-0.9761, 1.2335, 0.0491, 0.3994]","[-2.888, 4.5069, 22.9141, -21.2407]","[17.305, 0.0, 8.44, 8.477]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",892.950745,1481.35535,-22.7147598,18.4265366,0.287999988,1601.4,1308.01,0.0,24607.8,0.0,0.0,0.0,1,-22.2173639540271,-21.1677563582515,-22.0817563582515,0.0418586620010659,11108.0,4.0,0.5742278,-27.7108455458846,0.8511965,0.7472127,0.63604903,0.6358237,25.9573974689311,53.4815276428646,26.000332,1.0,1.04033632753006,0.57441413,2582046555,9619210,0.4676,401.0,360.6,0.7048,346.3,0.4436,394.4,0.5488,386.0,-22.1118452831992,0.6203,374.9,0.5003,886.5291,168.11363,-27.719665835535,764.29846,752.7953,553.4864,1,1,539.60547,763.7969,755.8675,708.0195,53.4872320928355,162.62732,894.73285,2.8909001,694.70294,0.042024992,-0.038856756,-0.038868096,-0.04965878,0.032893106,-0.0462594601935957,0.03288351,0.06505455,0.05091842,-0.0212716611858836,0.050903562,-0.0212778694259279,-0.0271850985616266,-0.0462459630794134,-0.0591021572506761,-23.166016,0.9736703,84909810000.0,4140930743166.2,84917370000.0,7563002.5,-0.0267610359002924,0.0414468503457637,0.0183373273856436,-0.43423435135337,0.877838089446235,-0.434234331925388,0.903124197680958,-0.434234337630178,0.903097296059949,5.01717656072704,-0.196509405361459,0.700459384663438,-0.011588077136383,10.9289965350444,10.9289578690749,6.87869424395502,12.6170979670123,1.28677803570333,4.000414124319719
9,10798336,0,2,0.652,203.2357,0.4613552,-16.85168,0.05666409,55.53548,1.32,-0.1762579,0.2931977,21.89,22.96481,0.9475528,"[-0.5369, 0.0396, 0.0, 0.0]","[0.6129, -0.1391, 0.0, 0.0]","[2.1694, -0.3716, 0.0, 0.0]","[0.0, 52.968, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1431.09827,3905.61597,-22.6193199,20.9911289,0.65200001,1730.69,711.654,0.0,9315.27,0.0,0.0,0.0,1,-22.3039772264784,-21.9031172553648,-22.6461172553648,0.0680457771989265,4225.0,4.0,0.22567365,-28.5637180628713,0.40113467,0.292002,0.24657285,0.24635561,23.2072185422984,53.009367687574,23.17175,1.0,0.967859303560808,0.22580045,2567293907,3110638,0.2187,140.6,122.9,0.3283,116.7,0.2076,137.7,0.2563,134.0,-22.6612049951095,0.2893,129.1,0.2339,5232.431,3897.8906,-28.5843334167204,5447.23,5337.1235,4096.6816,1,1,3974.3232,5428.147,5376.855,5192.694,53.0151591083217,3747.7378,5289.0356,1.386352,5079.4116,-0.093882844,-0.035173643,-0.035301752,-0.12639521,-0.026221158,-0.0240895647280362,-0.026126003,0.15744758,0.04397457,-0.0366558342680018,0.043814987,-0.0367893430179408,-0.131721419391715,-0.0240021435508804,-0.0862508378298058,-22.016039,0.9956763,24803731000.0,1009862131019.72,24804920000.0,1186642.4,-0.0100012493880892,0.0095266561273047,-0.016562249777468,-1.10482777558604,0.727940038657673,-1.10482777536606,0.916048363482876,-1.10482776806913,0.915755476386114,2.08196227253214,-0.608054745032726,0.318472855347639,-0.0018818302240678,10.3945378307024,10.3945170127149,6.07431986208424,12.0042620868278,0.489150040154688,3.9997906123370837
10,16700246,0,2,0.778,263.6331,0.4161564,157.8133,0.02530418,-34.17097,1.94,-0.730763,0.2403755,21.03,21.67378,2.087716,"[-1.7163, 0.2477, 0.0, 0.0]","[0.64, -0.068, 0.0, 0.0]","[1.6441, -0.5527, 0.0, 0.0]","[0.0, 257.814, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1533.73291,4848.56543,-23.3963394,20.8097267,0.777999997,1731.91,804.371,0.0,14969.9,0.0,0.0,0.0,1,-24.0680944991731,-23.6646603331579,-24.5226603331579,0.15843600337503,8117.0,4.0,1.1181179,-28.5156867928748,2.1370606,1.2045738,1.2537855,1.2537855,23.7643392524258,52.8581510741367,23.738365,1.0,0.976360875987011,1.118118,2576125831,3054157,0.3207,266.4,241.3,0.4864,232.3,0.304,262.3,0.3773,257.1,-24.5051508078873,0.4273,250.2,0.3435,16442.316,9767.094,-28.5402588741473,17385.48,14306.187,11519.824,1,1,11221.48,14517.734,17190.309,12736.424,52.869854049949,9441.51,16597.018,2.0974655,12492.156,-0.094716586,-0.0538021,-0.0538021,-0.26248488,-0.019414265,-0.0078244767190708,-0.019414265,0.27905115,0.057197724,0.0566600136071814,0.057197724,0.0566600136071814,0.276427823575747,-0.0078244767190708,-0.0381733595241796,-23.441774,1.0,209558850000.0,1447116107718.31,209558850000.0,0.08327377,0.0324873728785958,0.0062843443896873,-0.0125741376022954,-0.958550265887751,0.563659124334891,-0.958550259220995,0.891793705454294,-0.958550259220995,0.891793705454294,10.5257695424622,0.0982232429264515,1.0222538570804,0.0,11.3213060064965,11.3213060064965,-1.07949177336099,12.1605033776418,0.929658501986954,3.9996538633222776
11,835723,0,2,0.252,230.6747,0.1821093,136.1814,0.08975024,-83.19053,2.35,0.3228492,-0.3145961,23.21,22.24522,2.636097,"[1.0143, -0.7355, 0.0, 0.0]","[-1.5459, 0.4257, 0.0, 0.0]","[2.5154, -2.4317, 0.0, 0.0]","[0.0, 42.059, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",811.226501,1271.60071,-22.6515179,18.1222363,0.252000004,1685.82,1382.64,0.0,18919.1,0.0,0.0,0.0,1,-22.9225023597299,-21.9221963549338,-22.7241963549338,0.0532908825862943,9346.0,4.0,0.22482215,-28.1355165623795,0.43133727,0.26738483,0.23831671,0.23597053,24.0230892280217,52.6725115618705,24.10869,1.0,1.08203276923673,0.22591309,2577936761,4479673,0.2401,145.0,126.1,0.3604,119.6,0.2279,141.9,0.2814,137.9,-22.7766043387792,0.3176,132.7,0.2568,2847.4736,917.7306,-28.155542980434,2530.4075,2122.4336,1896.8654,1,1,1841.2614,2157.8533,2498.3647,2036.1753,52.6925635553174,883.1064,2877.887,2.3403397,1992.3473,-0.21150926,0.010475818,0.011569041,0.10160043,-0.024084143,-0.003296765121983,-0.021808298,0.23464614,0.026718695,0.0240090185665307,0.024193896,0.0265145240782153,0.232853095385173,-0.0029852353672157,-0.0289525077330108,-21.316223,0.98740065,12476141000.0,1483553939109.86,12552947000.0,76806380.0,-0.022615042472211,-0.0068374855479516,0.0383635721473163,1.34689036961147,0.619897332022205,1.34689036444091,0.952755241925319,1.34689036834834,0.947953232039616,1.96934302765655,-0.62284550525587,0.294321369791297,-0.0055065912229082,10.098745695187,10.096080274323,7.88539729664234,12.171303341035,1.25686991757728,4.001032240836223
18,31417072,0,4,1.02,286.4178,0.4026993,-117.8411,0.05856892,88.85828,2.45,0.04184945,-0.1739044,20.93,19.95828,2.161054,"[-0.2134, 0.9405, -0.6077, 0.7328]","[-1.2928, 0.0881, 0.4722, 0.6501]","[2.4473, -5.1238, -1.4204, 6.5478]","[0.0, 74.159, 111.537, 71.874]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1659.46106,6771.26465,-23.7952785,21.3780708,1.01999998,1672.07,700.439,0.0,19901.8,0.0,0.0,0.0,1,-24.5444618077558,-24.2961879189142,-25.0951879189142,0.210878690084071,9917.0,4.0,0.46281764,-28.381323661013,1.0027045,0.19343828,0.6516354,0.6516354,23.3788194025854,52.47611806629929,23.341703,1.0,0.966392620438118,0.4628176,2579189179,3484095,0.2178,310.7,270.2,0.3305,256.3,0.2064,304.0,0.2563,295.5,-24.9279536198151,0.2902,284.4,0.2333,19713.969,5449.3975,-28.4019874257432,17591.602,14719.936,12841.303,1,1,12485.122,14954.267,17380.416,15113.086,52.5005326263486,5254.1997,19912.012,2.5784621,14803.703,-0.62599194,0.06427217,0.06427217,0.25665534,-0.15676221,-0.139603868889158,-0.15676221,0.67656326,0.1694264,0.0960003313456533,0.1694264,0.0960003313456533,0.383354062674914,-0.139603868889158,-0.557474224865973,-23.097595,1.0,118347310000.0,2090002853138.03,118347310000.0,0.2691471,-0.0520612521628436,-0.0310305330293059,-0.0190433658920332,1.37624863807371,0.192916499653966,1.37624862900257,0.710240177243273,1.37624862900257,0.710240177243273,5.28473403371963,-0.185995330736984,0.723023135334177,0.0,11.0731583909898,11.0731583909898,-0.570010295249307,12.3201468789825,0.989710918208099,3.9998109832020563
21,25211436,0,2,0.926,246.6039,0.1042036,-109.3782,0.07199334,-86.08752,2.24,-0.06218032,0.3883665,23.55,23.14913,1.690097,"[0.1056, -0.1183, 0.0, 0.0]","[-0.4081, 1.2671, 0.0, 0.0]","[-1.4466, 2.2374, 0.0, 0.0]","[131.593, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1619.84619,6008.78027,-23.33218,21.4877529,0.925999999,1699.97,737.065,0.0,17845.6,0.0,0.0,0.0,1,-21.7816557723515,-21.4734745085933,-22.2814745085933,0.0439330092095479,8817.0,4.0,0.33469853,-28.0374095993718,0.6201015,0.57569987,0.3514008,0.35086516,25.4776764050076,52.6889380423804,25.43142,1.0,0.958290509318916,0.33519134,2577369063,577827,0.3308,299.2,270.9,0.5046,260.8,0.3133,294.6,0.39,288.7,-22.3200877796295,0.4424,280.9,0.3547,2671.8076,1143.61,-28.0560360560481,2641.2664,2156.0615,1846.4182,1,1,1800.021,2186.8691,2612.646,2022.5492,52.7091019441069,1106.726,2696.2383,2.2609553,1985.0901,0.024576036,-0.017677171,-0.017697452,-0.027834387,0.01562575,-0.0052572710518442,0.015607845,0.037131317,0.023608556,0.0229893802869033,0.023581501,0.0230157558708913,0.0361989664123156,-0.0052512463270882,-0.0082685869320867,-22.065687,0.9711477,33729077000.0,3917106288495.78,33732430000.0,3351292.5,0.0152578996231104,-0.0025275393208495,-0.0216477297502124,-0.423744077852291,0.928396114067524,-0.423744073802633,0.95392354942232,-0.423744103402238,0.953871907559153,2.9201396286165,-0.454197254123621,0.465403618053853,-0.0127147140499127,10.5280476278058,10.5280044568343,6.525212334607031,12.5929653560464,0.759376058469875,4.000318240300369
22,11305503,0,2,0.664,229.6149,0.147829,-75.48472,0.03844357,-137.5556,1.33,0.0120845,0.4437741,20.89,21.61852,1.287806,"[0.0833, -0.0103, 0.0, 0.0]","[1.0854, -0.199, 0.0, 0.0]","[2.186, -0.5112, 0.0, 0.0]","[0.0, 92.216, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]",1442.2522,3993.44653,-22.9484386,20.7223015,0.663999975,1731.95,701.949,0.0,9402.58,0.0,0.0,0.0,1,-23.3122352110961,-22.9210402848136,-23.6680402848136,0.038825538436532,1578.0,4.0,0.16207135,-27.5780713287844,0.29694912,0.19331184,0.19825006,0.19816521,22.9862726916824,52.8889330863968,22.950947,1.0,0.967987271186002,0.16210938,1879418365,7605849,0.165,209.5,187.0,0.2502,179.0,0.1564,205.8,0.1941,201.1,-23.7004992330811,0.2198,194.9,0.1767,13813.907,10235.277,-27.5897738035683,14153.655,14046.528,10811.145,1,1,10517.361,14263.978,13987.417,13742.278,52.893532808354,9876.087,13949.468,1.3513035,13469.314,-0.1887963,0.045071576,0.045114625,0.095092386,-0.089570515,-0.0734941057259392,-0.08948504,0.21139206,0.10029061,-0.068175800786679,0.10019491,-0.068240919951171,-0.143837877145856,-0.0734239736883965,-0.154910516416196,-22.022144,0.997456,20191529000.0,955205383932.394,20192250000.0,720775.94,0.0124263656892806,-0.0155692156492137,-0.0165964050483726,1.33750381898498,0.650993150156299,1.33750379964958,0.8178597152689,1.33750381216234,0.817701597185785,1.66977336050472,-0.702786672571948,0.222657528056716,-0.0011062529130605,10.305184714592,10.3051692070625,5.85780028116242,11.9800967616554,0.615407564765343,3.999711387749759
