,zl,m_h,m_acc,e_h,p_h,con,m_g,e_g,p_g,tb,vel_disp
0,0.022,110662400000.0,0.0,0.1507349,-9.519763,13.72977,1080892000.0,0.4210705,-27.15581,5.840332,54.11351611935491
100,0.244,196788600000.0,0.0,0.1464153,-55.2246,10.53118,2407053000.0,0.3481613,-14.21327,0.1196783,50.70131104409791
200,0.313,540754300000.0,0.0,0.3090984,128.3874,7.099533,16264460000.0,0.4002681,91.64147,0.237526,80.52551527603123
300,0.362,610942000000.0,0.0,0.1208992,-123.8424,9.597915,20516620000.0,0.5346808,-165.6554,0.08154966,129.55762513880725
400,0.405,271643900000.0,0.0,0.1094838,81.16364,8.624762,5697645000.0,0.4297219,44.10165,0.07450598,72.27531157539131
500,0.441,125603000000.0,0.0,0.3328796,74.53541,12.18791,831857500.0,0.4348138,41.23439,0.1279896,43.80655042799382
600,0.471,550807700000.0,0.0,0.1364947,120.3246,7.970765,19859680000.0,0.2399604,120.6234,0.06789648,128.22893881101731
700,0.501,157761100000.0,0.0,0.3409397,130.2962,12.22473,1264598000.0,0.3010535,156.3463,0.1201725,48.45269468277673
800,0.527,1142878000000.0,0.0,0.2238752,161.341,11.64189,55414800000.0,0.6152845,151.8243,0.1721899,145.79408359872426
900,0.553,200447200000.0,0.0,0.188064,-26.39546,4.743496,2698002000.0,0.3213006,-21.96351,0.1156985,42.50475832306456
1000,0.576,3548134000000.0,0.0,0.3829286,72.05911,6.484948,87221260000.0,0.4837437,46.38458,0.1061987,204.3720453546389
1100,0.598,390840900000.0,0.0,0.3327949,-27.61349,10.31306,7331756000.0,0.2904603,-44.95172,0.0833563,76.95917417171404
1200,0.62,107398900000.0,0.0,0.1453498,-83.18262,8.982142,643832500.0,0.3072729,-74.43688,0.2399265,46.08984219694749
1300,0.641,124451500000.0,0.0,0.3286472,-147.7889,6.14391,699876500.0,0.350004,-118.0892,0.1464739,35.3101399403304
1400,0.66,164059000000.0,0.0,0.01366404,-71.5389,8.161932,1233441000.0,0.4299707,-96.98237,0.085224,41.377727560523184
1500,0.679,128825000000.0,0.0,0.1221728,26.69113,7.025229,706034700.0,0.7627121,42.53853,0.09865552,35.34214682063202
1600,0.697,944060900000.0,0.0,0.007252622,-100.8947,3.069737,34380590000.0,0.2869702,-112.7513,0.08448854,135.9505754863702
1700,0.716,108642600000.0,0.0,0.1697013,3.692484,5.395955,407458600.0,0.4584517,-48.26178,0.1121512,30.08220793427796
1800,0.732,732824500000.0,0.0,0.2953679,166.3067,9.502276,22981230000.0,0.8991547,226.2263,0.1456284,103.32442095654334
1900,0.749,137404200000.0,0.0,0.3580205,95.83779,4.407177,421618600.0,0.1576385,127.7211,0.1188829,29.43806885294001
2000,0.765,516416400000.0,0.0,0.4977757,122.247,7.572108,17768070000.0,0.1646521,127.6121,0.04912861,127.851230286198
2100,0.781,781627800000.0,0.0,0.2844398,-124.3118,4.397104,24309010000.0,0.0385139,-175.3923,0.0879243,112.60971200352832
