,nim,mori,mobs,sep,ein,fs,frac_sh_trunc,mmin,flag_out,zs,xs,ys,m_type_sh,zl_sh,mass_sh,xl_sh,yl_sh,elip_sh,pol_sh,param1_sh,m_type_sat,zl_sat,mass_sat,xl_sat,yl_sat,elip_sat,pol_sat,param1_sat,m_type_hh,zl_hh,mass_hh,xl_hh,yl_hh,elip_hh,pol_hh,param1_hh,m_type_cen,zl_cen,mass_cen,xl_cen,yl_cen,elip_cen,pol_cen,param1_cen,m_type_pert,zl_pert,mass_pert,xl_pert,yl_pert,elip_pert,pol_pert,param1_pert,vel_disp
4,5.0,23.99,22.74763,0.4459323,0.1630315,0.0,-1.0,22.59568,3.0,3.66,-0.01373313,0.01693726,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.41,492280200000.0,0.0,0.0,0.1353551,-161.9555,8.420378,1.0,0.41,11762600000.0,0.0,0.0,0.3218022,-156.8141,0.2480187,2.0,0.41,3.66,0.0,0.0,0.1545786,-122.7189,0.0,73.94808765547282
7,3.0,22.31,22.29286,1.063273,0.4779562,0.0,-1.0,21.46725,1.0,1.26,-0.04204327,0.2089371,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.75,3424983000000.0,0.0,0.0,0.2130316,-59.87155,6.030231,1.0,0.75,94808480000.0,0.0,0.0,0.2046408,30.92637,0.06385826,2.0,0.75,1.26,0.0,0.0,0.04481599,136.2651,0.0,255.21568632650224
11,3.0,23.63,22.65248,1.312934,0.5788212,0.0,-1.0,21.6109,3.0,5.35,-0.1716314,-0.07617304,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.235,3964370000000.0,0.0,0.0,0.3180126,-134.3304,4.613493,1.0,1.235,62293800000.0,0.0,0.0,0.28086,-134.3932,0.07487959,2.0,1.235,5.35,0.0,0.0,0.0782586,-179.7685,0.0,184.43356485377922
13,3.0,21.61,22.77822,0.7465424,0.3577769,0.0,-1.0,20.77691,1.0,3.62,0.2396449,-0.09433014,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.706,3065771000000.0,0.0,0.0,0.1959794,24.25971,3.816434,1.0,1.706,53763680000.0,0.0,0.0,0.05789361,80.55532,0.09016067,2.0,1.706,3.62,0.0,0.0,0.08957131,-146.6393,0.0,159.4330353765705
14,3.0,21.59,22.99551,1.295234,0.5679336,0.0,-1.0,20.7309,1.0,2.26,-0.05837583,-0.5040319,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.332,693425800000.0,0.0,0.0,0.1830039,-153.8125,19.6188,1.0,0.332,32600890000.0,0.0,0.0,0.3064522,-148.2839,0.1425785,2.0,0.332,2.26,0.0,0.0,0.06101621,-41.72039,0.0,141.68801087776905
16,3.0,23.67,23.03799,0.4081907,0.1793166,0.0,-1.0,22.8869,1.0,2.04,-0.08248122,0.02250732,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.372,1080108000000.0,0.0,0.0,0.3064911,-155.0556,8.262567,1.0,1.372,28352280000.0,0.0,0.0,0.04623672,-156.7678,0.08060923,2.0,1.372,2.04,0.0,0.0,0.09543414,-23.81256,0.0,131.27859712813145
17,3.0,18.99,20.7333,0.7406029,0.3684728,0.0,-1.0,18.33737,1.0,0.84,-0.1913171,-0.2968882,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.526,1630087000000.0,0.0,0.0,0.2033171,107.2893,8.376967,1.0,0.526,56887840000.0,0.0,0.0,0.1608126,125.255,0.1237159,2.0,0.526,0.84,0.0,0.0,0.04225358,-26.40021,0.0,160.84524555805717
18,3.0,23.25,23.28196,0.6085645,0.2366375,0.0,-1.0,22.3409,1.0,3.28,-0.02541128,0.09081485,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.759,723691600000.0,0.0,0.0,0.251314,151.2886,6.298472,1.0,0.759,26238470000.0,0.0,0.0,0.6175263,149.445,0.100191,2.0,0.759,3.28,0.0,0.0,0.02594699,-92.98645,0.0,113.42753379302148
19,3.0,22.61,21.11891,1.422221,0.7226007,0.0,-1.0,19.9517,3.0,2.69,0.02034942,-0.08704412,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.689,1847699000000.0,0.0,0.0,0.1618489,79.73905,7.018314,1.0,0.689,96181480000.0,0.0,0.0,0.1239414,60.35142,0.1565751,2.0,0.689,2.69,0.0,0.0,0.03744041,-60.36367,0.0,175.7521946854824
21,3.0,21.49,22.58091,1.522711,0.6460004,0.0,-1.0,20.57119,1.0,2.78,-0.3441162,0.2641393,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.498,17913420000000.0,0.0,0.0,0.2542316,109.6293,4.42938,1.0,1.498,90297080000.0,0.0,0.0,0.2372013,120.8777,0.08049382,2.0,1.498,2.78,0.0,0.0,0.1200015,108.1839,0.0,217.53924210541308
22,3.0,22.27,21.04768,0.1126747,0.06861783,0.0,-1.0,21.00264,3.0,2.88,-0.02522882,-0.003473547,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.009,399035000000.0,0.0,0.0,0.2080588,173.762,5.118842,1.0,1.009,4513233000.0,0.0,0.0,0.593144,230.9563,0.0930435,2.0,1.009,2.88,0.0,0.0,0.08967349,105.3418,0.0,56.89207081002205
23,3.0,21.47,20.13326,0.6343947,0.3196519,0.0,-1.0,19.63269,3.0,1.92,0.04962064,0.01521584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.195,2602147000000.0,0.0,0.0,0.178719,-79.14895,4.396527,1.0,1.195,60083970000.0,0.0,0.0,0.01426559,-76.48871,0.07135168,2.0,1.195,1.92,0.0,0.0,0.02251459,178.8296,0.0,184.01604946917234
24,3.0,23.35,22.1472,1.325536,0.6213556,0.0,-1.0,22.103,3.0,1.24,0.1058409,0.1176144,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.399,4582604000000.0,0.0,0.0,0.2465211,-152.4477,7.057982,1.0,0.399,73919330000.0,0.0,0.0,0.1605503,-156.3876,0.2268791,2.0,0.399,1.24,0.0,0.0,0.0150318,13.53309,0.0,153.98033052667262
