ID,Ng,Name,RAJ2000,DEJ2000,zlambda,e_zlambda,lambda,e_lambda,S,zspec,ObjID,gmag,rmag,imag,zmag,zLum,PCen0,PCen1,PCen2,PCen3,ID0,RA0deg,DE0deg,ID1,RA1deg,DE1deg,ID2,RA2deg,DE2deg,ID3,RA3deg,DE3deg,ID4,RA4deg,DE4deg
374,72,b'RMJ042820.6-544342.9',67.08601805555554,-54.7285711111111,0.4787,0.0112,34.5,3.05,1.003,,2936278287,21.8001,19.9123,19.2345,18.8524,25.5229,0.604,0.189,0.114,0.0775,2936278287,67.08602100000002,-54.72857300000001,2936278255,67.07589000000002,-54.727978000000014,2936277735,67.06632200000001,-54.73809100000001,2936277957,67.08844800000001,-54.73363100000001,2936277937,67.07106000000002,-54.73323100000001
997,43,b'RMJ003626.4-432711.3',9.109958055555554,-43.453131111111105,0.3963,0.0156,23.66,2.77,1.044,0.3965,2970779384,20.98,19.2398,18.6564,18.336,19.1481,0.814,0.156,0.0271,0.00214,2970779384,9.109958000000002,-43.45313300000001,2970773686,9.119422000000002,-43.47543300000001,2970777993,9.110507000000002,-43.45460900000001,2970785771,9.105160000000001,-43.45799600000001,2970773880,9.106866000000002,-43.46489000000001
2420,58,b'RMJ050422.8-524108.3',76.0949561111111,-52.685651111111106,0.7357,0.0222,22.49,3.16,1.044,,2941862553,23.5681,21.6967,20.5111,20.0653,16.6821,0.92,0.0719,0.00484,0.00248,2941862553,76.09495500000001,-52.68565000000001,2941862899,76.10252400000002,-52.68298700000001,2941861933,76.08972200000002,-52.68655800000001,2941857284,76.07997900000002,-52.71696500000001,2941857548,76.07415800000001,-52.711838000000014
1786,54,b'RMJ045953.9-590217.3',74.97465194444443,-59.03814499999999,0.6981,0.0232,22.14,2.83,1.008,,2945765818,23.0649,21.1744,20.0989,19.6483,14.9636,0.969,0.0308,4.04e-05,2.05e-05,2945765818,74.97465500000001,-59.03814300000001,2945765611,74.97637900000002,-59.038494000000014,2945768968,74.93735500000001,-59.007328000000015,2945768390,74.92677300000001,-59.011471000000014,2945765231,74.95990800000001,-59.04101900000001
304,53,b'RMJ003841.9-434306.6',9.674558055555554,-43.718511111111106,0.4991,0.0119,28.58,2.74,1.061,,2970725830,21.4428,19.6637,18.9492,18.5581,19.5546,0.645,0.351,0.00342,0.000326,2970725830,9.674558000000003,-43.71851000000001,2970725250,9.665097000000003,-43.72114600000001,2970723991,9.671365000000002,-43.72145800000001,2970725455,9.669091000000002,-43.71693400000001,2970723494,9.659192000000003,-43.72839400000001
209,73,b'RMJ041842.8-555458.6',64.67834111111111,-55.9162761111111,0.5742,0.0085,41.7,4.73,1.177,,2933666606,21.5009,19.688,18.7435,18.3357,24.2031,0.871,0.124,0.00295,0.00137,2933666606,64.67834500000002,-55.91627500000001,2933666514,64.67424000000001,-55.91662200000001,2933664080,64.68976600000002,-55.92147400000001,2933664063,64.68679800000001,-55.92163100000001,2933666358,64.67478200000002,-55.91761000000001
79,78,b'RMJ044836.3-514217.3',72.15116111111111,-51.70481805555555,0.3874,0.01,46.53,2.93,1.0,,2933300414,19.8775,18.3292,17.7738,17.4671,27.2718,1.0,5.67e-05,1.13e-05,8.08e-06,2933300414,72.15116100000002,-51.704819000000015,2933298812,72.15039800000001,-51.70724100000001,2933299177,72.14592000000002,-51.70516600000001,2933302568,72.14439400000002,-51.689163000000015,2933298851,72.14897200000001,-51.705818000000015
503,56,b'RMJ050100.3-502036.2',75.25109888888888,-50.34338305555555,0.4836,0.0112,32.33,3.36,1.057,,2933501026,21.3592,19.5138,18.8189,18.448,23.8455,0.96,0.0259,0.00913,0.00349,2933501026,75.25109900000001,-50.343384000000015,2933498998,75.23352100000002,-50.35340900000001,2933501258,75.28229500000002,-50.34023700000001,2933499224,75.24043300000002,-50.35027700000001,2933500331,75.27468900000002,-50.34924300000001
132,88,b'RMJ053257.9-575200.9',83.2411211111111,-57.866904999999996,0.765,0.0165,48.48,3.81,1.133,,2943152048,23.4323,21.6171,20.4329,19.9149,28.9675,0.52,0.458,0.0094,0.00662,2943152048,83.24111900000003,-57.86690500000002,2943152346,83.24266800000002,-57.86315900000001,2943150827,83.24554400000002,-57.879379000000014,2943151747,83.24343900000002,-57.86904900000001,2943152189,83.24874900000002,-57.864956000000014
412,44,b'RMJ043114.0-511334.7',67.80843388888889,-51.22631194444444,0.2481,0.0111,26.46,2.27,1.006,,2931325702,19.3824,18.0097,17.5585,17.2603,18.0029,0.502,0.482,0.0158,4.93e-05,2931325702,67.80843400000002,-51.22631100000001,2931325264,67.80225400000002,-51.23208200000001,2931323932,67.82449300000002,-51.24421300000001,2931324364,67.84532900000002,-51.235008000000015,2931324659,67.80223100000002,-51.230995000000014
