ID,RAJ2000,DEJ2000,R,PMem,Pfree,tLum,tRad,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,zspec,ObjID
79,72.05359694444444,-51.70336999999999,0.799,0.116,1.0,1.0000000000000002,0.8822000000000001,20.3933,0.0078,19.0473,0.0029,18.5292,0.0032,18.2023,0.0044,,2933300320
79,72.07050694444443,-51.697621944444435,0.667,0.064,1.0,1.0000000000000002,0.9999340000000001,21.643,0.0196,20.3232,0.0075,19.8439,0.009,19.4932,0.0137,,2933300863
79,72.09409305555555,-51.680876111111104,0.564,0.684,1.0,1.0000000000000002,1.0000000000000002,22.3244,0.0266,20.9212,0.0097,20.3991,0.0112,20.1211,0.0166,,2933303228
79,72.07127805555555,-51.67844999999999,0.741,0.015,1.0,1.0000000000000002,0.9904260000000001,22.5326,0.0503,21.06,0.0167,20.5361,0.0187,20.0965,0.0246,,2933304418
79,72.06162194444444,-51.6790561111111,0.808,0.075,1.0,1.0000000000000002,0.8408820000000001,21.9205,0.0261,20.4916,0.0092,19.9486,0.0099,19.5753,0.0134,,2933304443
79,72.13455499999999,-51.68120111111111,0.34,0.724,1.0,1.0000000000000002,1.0000000000000002,21.214,0.0141,19.8272,0.0053,19.3015,0.0062,18.9846,0.0098,,2933304349
79,72.1425711111111,-51.67228805555555,0.435,0.639,1.0,1.0000000000000002,1.0000000000000002,23.0418,0.042,21.3922,0.0123,20.7551,0.0138,20.4278,0.0212,,2933304958
79,72.19761805555555,-51.6664111111111,0.634,0.766,1.0,1.0000000000000002,0.9999960000000001,23.2492,0.0496,21.4765,0.013,20.9409,0.0156,20.5898,0.0241,,2933306499
79,72.2280961111111,-51.655249999999995,0.909,0.636,1.0,1.0000000000000002,0.15619600000000003,22.7761,0.0325,21.2882,0.011,20.8084,0.0141,20.476,0.0208,,2933308627
79,72.18069499999999,-51.64583,0.816,0.494,1.0,1.0000000000000002,0.8013380000000001,21.7088,0.0167,19.9982,0.0046,19.4028,0.0052,19.0381,0.0074,,2933310660
79,72.1510111111111,-51.63855194444444,0.875,0.279,1.0,0.9996590000000001,0.36602500000000004,23.3724,0.0515,21.7128,0.0148,21.0754,0.016,20.7117,0.0228,,2933311119
79,72.18943888888887,-51.63774999999999,0.94,0.545,1.0,1.0000000000000002,0.05141300000000001,20.7543,0.0096,19.2654,0.0033,18.7712,0.0038,18.4647,0.0058,,2933312527
79,72.09132888888888,-51.662634999999995,0.742,0.826,1.0,1.0000000000000002,0.9899250000000002,22.7992,0.0343,21.1222,0.0099,20.5743,0.0113,20.2695,0.0178,,2933306898
79,72.17820805555554,-51.70058999999999,0.228,0.944,1.0,1.0000000000000002,1.0000000000000002,22.5132,0.0277,20.8977,0.0084,20.4111,0.0095,20.1116,0.015,,2933299215
79,72.14213305555555,-51.69176694444444,0.188,0.677,1.0,1.0000000000000002,1.0000000000000002,22.5279,0.0277,21.0302,0.0093,20.5769,0.011,20.2206,0.0167,,2933301073
79,72.15123888888888,-51.68914888888888,0.207,0.939,1.0,1.0000000000000002,1.0000000000000002,22.7313,0.0355,21.1195,0.0107,20.6298,0.0121,20.3619,0.019,,2933302312
79,72.1555411111111,-51.68996305555555,0.199,0.966,1.0,1.0000000000000002,1.0000000000000002,23.1209,0.0489,21.5302,0.0151,20.9744,0.0169,20.6499,0.0252,,2933302434
79,72.14923305555554,-51.690933888888885,0.184,0.102,1.0,1.0000000000000002,1.0000000000000002,20.5871,0.0084,19.3517,0.0036,18.9025,0.0043,18.5823,0.0067,,2933302475
79,72.18444,-51.68871888888888,0.346,0.867,1.0,1.0000000000000002,1.0000000000000002,21.7666,0.023,20.1607,0.0068,19.5865,0.0072,19.2835,0.0109,,2933302493
79,72.130945,-51.68718305555555,0.286,0.337,1.0,1.0000000000000002,1.0000000000000002,23.3481,0.0536,21.6226,0.0147,20.9916,0.0162,20.5801,0.0223,,2933302516
79,72.19153999999999,-51.68757999999999,0.401,0.86,1.0,1.0000000000000002,1.0000000000000002,22.4708,0.0282,20.992,0.0097,20.4449,0.0116,20.129,0.0175,,2933302548
79,72.13398694444443,-51.687501111111104,0.268,0.825,1.0,1.0000000000000002,1.0000000000000002,22.8087,0.0354,20.9782,0.0088,20.3539,0.0098,19.9856,0.0141,,2933302553
79,72.14439388888889,-51.689164999999996,0.214,0.932,1.0,1.0000000000000002,1.0000000000000002,21.6795,0.0232,19.9178,0.0058,19.3229,0.0061,18.9885,0.0089,,2933302568
79,72.22893305555554,-51.68653388888888,0.681,0.725,1.0,1.0000000000000002,0.9998020000000001,22.092,0.0214,20.3664,0.0059,19.8234,0.0068,19.5158,0.0099,,2933302657
79,72.17000999999999,-51.68013499999999,0.361,0.931,1.0,1.0000000000000002,1.0000000000000002,22.6557,0.0297,21.0099,0.0091,20.4831,0.0106,20.1798,0.0144,,2933303218
79,72.250385,-51.67484194444444,0.904,0.564,1.0,1.0000000000000002,0.18062000000000003,23.0528,0.041,21.3713,0.0117,20.7993,0.0141,20.5327,0.0215,,2933304690
79,72.24000805555555,-51.675594999999994,0.824,0.554,1.0,1.0000000000000002,0.755565,22.5883,0.0341,20.9563,0.0101,20.4011,0.0123,20.0305,0.0165,,2933304733
79,72.20814805555554,-51.671141944444436,0.645,0.02,1.0,0.6210700000000001,0.9999900000000002,23.4328,0.0919,21.9008,0.0297,21.2089,0.0317,20.7744,0.0485,,2933305224
79,72.24737388888887,-51.66972499999999,0.914,0.43,1.0,1.0000000000000002,0.131616,20.6525,0.0092,19.1626,0.0031,18.7016,0.0045,18.399,0.0068,,2933306518
79,72.10706111111111,-51.73753805555555,0.563,0.298,1.0,1.0000000000000002,1.0000000000000002,21.382,0.0172,20.0673,0.0068,19.6266,0.0082,19.3765,0.0129,,2933292851
79,72.10608194444444,-51.72744305555555,0.475,0.732,1.0,1.0000000000000002,1.0000000000000002,22.3756,0.0268,20.5912,0.007,20.0258,0.0082,19.738,0.0123,,2933294713
79,72.0579711111111,-51.73121805555555,0.838,0.082,1.0,1.0000000000000002,0.652676,19.4833,0.0056,18.1727,0.0021,17.7077,0.0025,17.415,0.0036,,2933295172
79,72.10271305555554,-51.71777305555555,0.432,0.187,1.0,1.0000000000000002,1.0000000000000002,22.552,0.0267,21.1762,0.0101,20.6638,0.0127,20.2922,0.0169,,2933296672
79,72.11291499999999,-51.71735805555555,0.354,0.833,1.0,1.0000000000000002,1.0000000000000002,22.4688,0.0297,20.6806,0.0077,20.091,0.0088,19.728,0.0116,,2933296712
79,72.08151888888888,-51.71894388888888,0.6,0.641,1.0,1.0000000000000002,1.0000000000000002,21.2265,0.015,19.6438,0.0047,19.0717,0.0052,18.7199,0.007,,2933296757
79,72.10927194444443,-51.71531194444444,0.37,0.936,1.0,1.0000000000000002,1.0000000000000002,22.9927,0.0331,21.3402,0.0097,20.8015,0.0111,20.4976,0.0159,,2933296802
79,72.06098305555555,-51.71491194444444,0.75,0.06,1.0,1.0000000000000002,0.9847200000000002,22.3796,0.0253,21.1313,0.0104,20.744,0.0132,20.4682,0.0192,,2933296893
79,72.10913,-51.714751111111106,0.368,0.864,1.0,1.0000000000000002,1.0000000000000002,22.4734,0.0285,20.6777,0.0074,20.1101,0.0082,19.767,0.0113,,2933296934
